title,price_gbp_raw,star_rating_text,availability_text,category
Sharp Objects,£47.82,Four,In stock,Mystery
The Past Never Ends,£56.5,Four,In stock,Mystery
A Murder in Time,£16.64,Two,In stock,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.1,Four,In stock,Mystery
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery
That Darkness (Gardiner and Renner #1),£13.92,Two,In stock,Mystery
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery
A Study in Scarlet (Sherlock Holmes #1),£16.73,Four,In stock,Mystery
Poisonous (Max Revere Novels #3),£26.8,Three,In stock,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,Four,In stock,Mystery
Most Wanted,£35.28,Three,In stock,Mystery
Hide Away (Eve Duncan #20),£11.84,Four,In stock,Mystery
Boar Island (Anna Pigeon #19),£59.48,Three,In stock,Mystery
The Widow,£27.26,Two,In stock,Mystery
Playing with Fire,£13.71,Three,In stock,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Three,In stock,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock,Mystery
Full Moon over Noah's Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,Travel
Under the Tuscan Sun,£37.33,Three,In stock,Travel
A Summer In Europe,£44.34,Two,In stock,Travel
The Great Railway Bazaar,£30.54,One,In stock,Travel
A Year in Provence (Provence #1),£56.88,Four,In stock,Travel
The Road to Little Dribbling: Adventures of an American in Britain,£23.21,One,In stock,Travel
Neither Here nor There: Travels in Europe,£38.95,Three,In stock,Travel
"1,000 Places to See Before You Die",£26.08,Five,In stock,Travel
Tipping the Velvet,£53.74,One,In stock,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,Three,In stock,Historical Fiction
A Flight of Arrows (The Pathfinders #2),£55.53,Four,In stock,Historical Fiction
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction
Glory over Everything: Beyond The Kitchen House,£45.84,Four,In stock,Historical Fiction
"Love, Lies and Spies",£20.55,Two,In stock,Historical Fiction
A Paris Apartment,£39.01,Four,In stock,Historical Fiction
Lilac Girls,£17.28,Five,In stock,Historical Fiction
The Constant Princess (The Tudor Court #1),£16.62,Three,In stock,Historical Fiction
The Invention of Wings,£37.34,One,In stock,Historical Fiction
World Without End (The Pillars of the Earth #2),£32.97,Four,In stock,Historical Fiction
The Passion of Dolssa,£28.32,Four,In stock,Historical Fiction
Voyager (Outlander #3),£21.07,Two,In stock,Historical Fiction
The Red Tent,£35.66,Four,In stock,Historical Fiction
The Last Painting of Sara de Vos,£55.55,Two,In stock,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,£49.53,Two,In stock,Historical Fiction
The Secret Garden,£15.08,Four,In stock,Classics
The Metamorphosis,£28.58,Two,In stock,Classics
Little Women (Little Women #1),£28.07,Four,In stock,Classics
Gone with the Wind,£32.49,One,In stock,Classics
Candide,£58.63,Two,In stock,Classics
Animal Farm,£57.22,Three,In stock,Classics
Wuthering Heights,£17.73,Three,In stock,Classics
The Picture of Dorian Gray,£29.7,Two,In stock,Classics
The Complete Stories and Poems,£26.78,Four,In stock,Classics
Beowulf,£38.35,Two,In stock,Classics
And Then There Were None,£35.01,Four,In stock,Classics
The Story of Hong Gildong,£43.19,Four,In stock,Classics
The Little Prince,£45.42,Four,In stock,Classics
Sense and Sensibility,£37.46,Three,In stock,Classics
Of Mice and Men,£47.11,Four,In stock,Classics
Emma,£32.93,Two,In stock,Classics
Alice in Wonderland,£55.53,One,In stock,Classics
Unicorn Tracks,£18.78,Three,In stock,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Four,In stock,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Four,In stock,Fantasy
Masks and Shadows,£56.4,One,In stock,Fantasy
Crown of Midnight (Throne of Glass #2),£43.29,Four,In stock,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3",£28.09,Two,In stock,Fantasy
A Court of Thorns and Roses,£52.37,Five,In stock,Fantasy
Throne of Glass (Throne of Glass #1),£35.07,Four,In stock,Fantasy
The Glittering Court (The Glittering Court #1),£44.28,Four,In stock,Fantasy
Hollow City (Miss Peregrine's Peculiar Children #2),£42.98,Four,In stock,Fantasy
The Star-Touched Queen,£46.02,Four,In stock,Fantasy
The Hidden Oracle (The Trials of Apollo #1),£52.26,Four,In stock,Fantasy
The Bane Chronicles,£44.73,Three,In stock,Fantasy
Island of Dragons (Unwanteds #7),£29.65,One,In stock,Fantasy
Demigods & Magicians,£37.51,Two,In stock,Fantasy
City of Glass (The Mortal Instruments #3),£56.02,One,In stock,Fantasy
Searching for Meaning in Gailana,£38.73,Two,In stock,Fantasy
